Room,Desk No,Team Name
Lab-1,1,AC_or_WA
Lab-1,2,!underrated
Lab-1,4,MBSTU_FulBabu
Lab-1,5,PANTAGON_MBSTU
Lab-1,6,Fight_For_Insaff
Lab-1,8,gpt_mar
Lab-1,9,NEWBI
Lab-1,10,JU_Try_To_Survive
Lab-1,11,Falcon Tigers
Lab-1,12,JU_Quetzalcoatlus
Lab-1,13,CriticallyEndangeredCoders
Lab-1,14,UFTB_triANGLE
Lab-1,15,MBSTU_FLAGGERS
Lab-1,17,MBSTU_Dynamic_Trio
Lab-1,18,DIU_YinYang.exe
Lab-1,20,Justice_For_Hadi
Lab-2,21,GMK
Lab-2,22,MBSTU_WaySeeker
Lab-2,23,JU_ArchBtw
Lab-2,25,FAILURE
Lab-2,26,3Bits
Lab-2,27,Kisu_pari_na 
Lab-2,28,FalCoN_3.0
Lab-2,29,Not Responding
Lab-2,31,Backbencher_22
Lab-2,32,Loser's_get_together
Lab-2,33,here_for_the_tshirt
Lab-2,35,800rating_dile_parbo
Lab-2,36,JSTU_LastAndFurious
Lab-2,37,Fat Old Sun
Lab-2,38,Thr33_J0n_Sn0w
Lab-2,39,ALU_VAJA
Lab-2,40,Mushrooms
Lab-2,41,Codeblooded
Lab-2,42,Team_Tafaling
Lab-3,44,Samne_semester 
Lab-3,45,Fukka_Kulle_Nezamin
Lab-3,46,404
Lab-3,47,SairaDeMaKaindaBachi
Lab-3,48,Paracetamol_2_bela
Lab-3,49,Byte Beasts
Lab-3,50,যা_হবে_দেখা_যাবে
Lab-3,51,ByteForce
Lab-3,52,JU_Ackerman
Lab-3,53,JFH
Lab-3,54,Undefined_behaviour
Lab-3,55,JusticeForHadi
Lab-3,56,Brainless_Squad
Lab-3,57,DIU_ProveLater
Lab-3,58,Phinix
Lab-3,59,ERROR!
Lab-3,60,DIU_LastMinuteTLE
